uri,track_number,track_name,album,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,lyrics-url
spotify:track:2gVhfX2Gy1T9kDuS9azrF7,1,willow,evermore (deluxe version),Taylor Swift,False,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,214707,"['TranslationsTürkçeEspañolСрпскиRomânăPortuguês日本語ItalianoDeutschFrançaisفارسی\u200bwillow Lyrics[Verse 1]', ""I'm like the water when your ship rolled in that night"", 'Rough on the surface, but you cut through like a knife', 'And if it was an open-shut case', ""I never would've known from that look on your face"", 'Lost in your current like a priceless wine', '', '[Chorus]', 'The more that you say, the less I know', 'Wherever you stray, I follow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", '[Verse 2]', 'Life was a willow and it bent right to your wind', ""Head on the pillow, I could feel you sneakin' in"", 'As if you were a mythical thing', 'Like you were a trophy or a champion ring', ""And there was one prize I'd cheat to win"", '', '[Chorus]', 'The more that you say, the less I know', 'Wherever you stray, I follow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", 'You know that my train could take you home', 'Anywhere else is hollow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", '', '[Bridge]', 'Life was a willow and it bent right to your wind', 'They count me out time and time again', 'Life was a willow and it bent right to your wind', ""But I come back stronger than a '90s trend"", '', '[Verse 3]', ""Wait for the signal, and I'll meet you after dark"", 'Show me the places where the others gave you scars', 'Now this is an open-shut case', ""I guess I should've known from the look on your face"", 'Every bait-and-switch was a work of art', 'You might also like[Chorus]', 'The more that you say, the less I know', 'Wherever you stray, I follow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", 'You know that my train could take you home', 'Anywhere else is hollow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", 'The more that you say, the less I know', 'Wherever you stray, I follow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", 'You know that my train could take you home', 'Anywhere else is hollow', ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man"", '', '[Outro]', ""Hey, that's my man"", ""That's my man"", ""Yeah, that's my man"", 'Every bait-and-switch was a work of art', ""That's my man"", ""Hey, that's my man"", ""I'm begging for you to take my hand"", ""Wreck my plans, that's my man108Embed""]",https://genius.com/Taylor-swift-willow-lyrics
spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,2,champagne problems,evermore (deluxe version),Taylor Swift,True,0.462,0.24,0,-12.077,0.0377,0.92,0.0,0.113,0.32,171.319,244000,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisHrvatskiMagyar\u200bchampagne problems Lyrics[Verse 1]', 'You booked the night train for a reason', 'So you could sit there in this hurt', 'Bustling crowds or silent sleepers', ""You're not sure which is worse"", '', '[Chorus]', 'Because I dropped your hand while dancing', 'Left you\u205fout\u205fthere\u205fstanding', 'Crestfallen on the\u205flanding', 'Champagne problems', ""Your mom's\u205fring in your pocket"", 'My picture in your wallet', 'Your heart was glass, I dropped it', 'Champagne problems', '[Verse 2]', 'You told your family for a reason', ""You couldn't keep it in"", 'Your sister splashed out on the bottle', ""Now no one's celebrating"", '', '[Chorus]', 'Dom Pérignon, you brought it', 'No crowd of friends applauded', 'Your hometown skeptics called it', 'Champagne problems', ""You had a speech, you're speechless"", 'Love slipped beyond your reaches', ""And I couldn't give a reason"", 'Champagne problems', '[Bridge]', 'Your Midas touch on the Chevy door', 'November flush and your flannel cure', '""This dorm was once a madhouse""', 'I made a joke, ""Well, it\'s made for me""', 'How evergreen, our group of friends', ""Don't think we'll say that word again"", ""And soon they'll have the nerve to deck the halls"", 'That we once walked through', 'One for the money, two for the show', 'I never was ready so I watch you go', ""Sometimes you just don't know the answer"", ""'Til someone's on their knees and asks you"", '""She would\'ve made such a lovely bride', 'What a shame she\'s fucked in the head,"" they said', ""But you'll find the real thing instead"", ""She'll patch up your tapestry that I shred"", 'You might also like[Chorus]', 'And hold your hand while dancing', 'Never leave you standing', 'Crestfallen on the landing', 'With champagne problems', ""Your mom's ring in your pocket"", 'Her picture in your wallet', ""You won't remember all my"", 'Champagne problems', '', '[Outro]', ""You won't remember all my"", 'Champagne problems110Embed']",https://genius.com/Taylor-swift-champagne-problems-lyrics
spotify:track:3Dby3p1m6IOZn2gIIqECgK,3,gold rush,evermore (deluxe version),Taylor Swift,True,0.512,0.462,9,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,185320,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisСрпскиMagyarУкраїнськаPolski\u200bgold rush Lyrics[Intro]', 'Gleaming, twinkling', 'Eyes like sinking ships on waters', 'So inviting, I almost jump in', '', '[Chorus]', ""But I don't like a gold rush, gold rush"", ""I don't like anticipatin' my face in a red flush"", ""I don't like that anyone would die to feel your touch"", 'Everybody wants you', 'Everybody wonders what it would be like to love you', 'Walk past, quick brush', ""I don't like slow motion, double vision in rose blush"", ""I don't like that falling feels like flying 'til the bone crush"", 'Everybody wants you', ""But I don't like a gold rush"", '[Verse 1]', 'What must it be like to grow up that beautiful?', 'With your hair falling into place like dominoes', 'I see me padding across your wooden floors', 'With my Eagles t-shirt hanging from the door', '', '[Refrain]', 'At dinner parties, I call you out on your contrarian shit', ""And the coastal town we wandered 'round had nеver seen a love as pure as it"", 'And thеn it fades into the gray of my day-old tea', ""'Cause it could never be"", '', '[Chorus]', ""'Cause I don't like a gold rush, gold rush"", ""I don't like anticipatin' my face in a red flush"", ""I don't like that anyone would die to feel your touch"", 'Everybody wants you', 'Everybody wonders what it would be like to love you', 'Walk past, quick brush', ""I don't like slow motion, double vision in rose blush"", ""I don't like that falling feels like flying 'til the bone crush"", 'Everybody wants you', ""But I don't like a gold rush"", '', '[Verse 2]', 'What must it be like to grow up that beautiful?', 'With your hair falling into place like dominoes', 'My mind turns your life into folklore', ""I can't dare to dream about you anymore"", 'You might also like[Refrain]', ""At dinner parties I won't call you out on your contrarian shit"", 'And the coastal town we never found will never see a love as pure as it', ""'Cause it fades into the gray of my day-old tea"", ""'Cause it will never be"", '', '[Outro]', 'Gleaming, twinkling', 'Eyes like sinking ships on waters', 'So inviting, I almost jump in49Embed']",https://genius.com/Taylor-swift-gold-rush-lyrics
spotify:track:6sQckd3Z8NPxVVKUnavY1F,4,‘tis the damn season,evermore (deluxe version),Taylor Swift,False,0.575,0.434,5,-8.193,0.0312,0.735,6.59e-05,0.105,0.348,145.916,229840,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisСрпскиMagyarPolski\u200b’tis the damn season Lyrics[Verse 1]', 'If I wanted to know who you were hanging with', ""While I was gone, I would've asked you"", ""It's the kind of cold, fogs up windshield glass"", 'But I felt it when I passed you', ""There's an ache in you, put there by the ache in me"", ""But if it's all the same to you"", ""It's the same to me"", '', '[Chorus]', 'So we could call it even', 'You could call me ""babe"" for the weekend', ""\u200b'Tis the damn season, write this down"", ""I'm stayin' at my parents' house"", 'And the road not taken looks real good now', 'And it always leads to you and my hometown', '[Verse 2]', 'I parkеd my car right between the Methodist', 'And thе school that used to be ours', 'The holidays linger like bad perfume', 'You can run, but only so far', 'I escaped it too, remember how you watched me leave', ""But if it's okay with you, it's okay with me"", '', '[Chorus]', 'We could call it even', 'You could call me ""babe"" for the weekend', ""\u200b'Tis the damn season, write this down"", ""I'm stayin' at my parents' house"", 'And the road not taken looks real good now', 'Time flies, messy as the mud on your truck tires', ""Now I'm missing your smile, hear me out"", 'We could just ride around', 'And the road not taken looks real good now', 'And it always leads to you and my hometown', '', '[Bridge]', ""Sleep in half the day just for old times' sake"", ""I won't ask you to wait if you don't ask me to stay"", ""So I'll go back to L.A. and the so-called friends"", ""Who'll write books about me if I ever make it"", 'And wonder about the only soul', ""Who can tell which smiles I'm fakin'"", ""And the heart I know I'm breakin' is my own"", ""To leave the warmest bed I've ever known"", 'We could call it even', ""Even though I'm leaving"", ""And I'll be yours for the weekend"", ""\u200b'Tis the damn season"", 'You might also like[Chorus]', 'We could call it even', 'You could call me ""babe"" for the weekend', ""\u200b'Tis the damn season, write this down"", ""I'm stayin' at my parents' house"", 'And the road not taken looks real good now', 'Time flies, messy as the mud on your truck tires', ""Now I'm missing your smile, hear me out"", 'We could just ride around', 'And the road not taken looks real good now', 'And it always leads to you and my hometown', '', '[Outro]', 'It always leads to you and my hometown50Embed']",https://genius.com/Taylor-swift-tis-the-damn-season-lyrics
spotify:track:6lCvK2AR2uOKkVFCVlAzzm,5,tolerate it,evermore (deluxe version),Taylor Swift,True,0.316,0.361,9,-10.381,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisHrvatskiPolskiMagyar\u200btolerate it Lyrics[Verse 1]', 'I sit and watch you reading with your head low', 'I wake and watch you breathing with your eyes closed', 'I sit and watch you', ""I notice everything you do or don't do"", ""You're so much older and wiser, and I"", '', '[Chorus 1]', ""I wait by the door like I'm just a kid"", 'Use my best colors for your portrait', 'Lay the table with the fancy shit', 'And watch you tolerate it', ""If it's all in my head, tell me now"", ""Tell me I've got it wrong somehow"", 'I know my love should be celebrated', 'But you tolerate it', '[Verse 2]', ""I greet you with a battle hero's welcome"", 'I take your indiscretions all in good fun', 'I sit and listеn, I polish plates until they gleam and glistеn', ""You're so much older and wiser and I"", '', '[Chorus 1]', ""I wait by the door like I'm just a kid"", 'Use my best colors for your portrait', 'Lay the table with the fancy shit', 'And watch you tolerate it', ""If it's all in my head, tell me now"", ""Tell me I've got it wrong somehow"", 'I know my love should be celebrated', 'But you tolerate it', '', '[Bridge]', 'While you were out building other worlds, where was I?', ""Where's that man who'd throw blankets over my barbed wire?"", 'I made you my temple, my mural, my sky', ""Now I'm begging for footnotes in the story of your life"", 'Drawing hearts in the byline', 'Always taking up too much space or time', ""You assume I'm fine, but what would you do if I"", '', '[Chorus 2]', 'Break free and leave us in ruins', 'Took this dagger in me and removed it', 'Gain the weight of you, then lose it', 'Believe me, I could do it', ""If it's all in my head, tell me now"", ""Tell me I've got it wrong somehow"", 'I know my love should be celebrated', 'But you tolerate it', 'You might also like[Outro]', 'I sit and watch you77Embed']",https://genius.com/Taylor-swift-tolerate-it-lyrics
spotify:track:6uwfVkaOM1mcMkFmSn35ix,6,"no body, no crime (feat. HAIM)",evermore (deluxe version),Taylor Swift,False,0.546,0.613,7,-7.589,0.0264,0.418,0.0,0.103,0.535,79.015,215627,"['TranslationsTürkçeEspañolСрпскиRomânăPortuguêsItalianoMagyarHebrewDeutschFrançaisفارسیNederlandsPolski\u200bno body, no crime Lyrics[Intro: HAIM]', 'He did it', 'He did it', '', '[Verse 1: Taylor Swift]', ""Este's a friend of mine"", 'We meet up every Tuesday night for dinner and a glass of wine', ""Este's been losin' sleep"", ""Her husband's actin' different, and it smells like infidelity"", 'She says, ""That ain\'t my Merlot on his mouth', 'That ain\'t my jewelry on our joint account""', ""No, there ain't no doubt"", ""I think I'm gonna call him out"", '[Chorus: Taylor Swift & HAIM]', 'She says, ""I think he did it, but I just can\'t prove it""', ""I think he did it, but I just can't prove it"", ""I think he did it, but I just can't prove it"", 'No, no body, no crime', ""But I ain't lettin' up until the day I die"", '', '[Post-Chorus: HAIM]', 'No, no', 'I think he did it', 'No, no', 'He did it', '', '[Verse 2: Taylor Swift]', ""Este wasn't there Tuesday night at Olive Gardеn"", 'At her job or anywhere', 'Hе reports his missing wife', 'And I noticed when I passed his house', 'His truck has got some brand new tires', 'And his mistress moved in', ""Sleeps in Este's bed and everything"", ""No, there ain't no doubt"", ""Somebody's gotta catch him out, 'cause"", '', '[Chorus: Taylor Swift & HAIM]', ""I think he did it, but I just can't prove it (He did it)"", ""I think he did it, but I just can't prove it (He did it)"", ""I think he did it, but I just can't prove it"", 'No, no body, no crime', ""But I ain't lettin' up until the day I die"", 'You might also like[Post-Chorus: HAIM & Taylor Swift]', 'No, no', 'I think he did it', 'No, no', 'He did it', '', '[Verse 3: Taylor Swift & Danielle Haim]', 'Good thing my daddy made me get a boating license when I was fifteen', ""And I've cleaned enough houses to know how to cover up a scene"", ""Good thing Este's sister's gonna swear she was with me"", '(She was with me, dude)', 'Good thing his mistress took out a big life insurance policy', '', '[Chorus: Taylor Swift]', ""They think she did it, but they just can't prove it"", ""They think she did it, but they just can't prove it"", ""She thinks I did it, but she just can't prove it"", '', '[Outro: Taylor Swift & HAIM]', 'No, no body, no crime', ""I wasn't lettin' up until the day he—"", 'No, no body, no crime', ""I wasn't lettin' up until the day he—"", 'No, no body, no crime', ""I wasn't lettin' up until the day he died79Embed""]",https://genius.com/Taylor-swift-no-body-no-crime-lyrics
spotify:track:55Vf4bimc1Rtfg0PAQRAo2,7,happiness,evermore (deluxe version),Taylor Swift,True,0.559,0.334,11,-10.733,0.0376,0.87,0.0,0.114,0.211,122.079,315147,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisHrvatskiMagyarPolski\u200bhappiness Lyrics[Verse 1]', ""Honey, when I'm above the trees"", 'I see this for what it is', ""But now I'm right\u2005down\u2005in it, all\u2005the years I've given"", ""Is just shit\u2005we're dividin' up"", 'Showed you all of my hiding spots', 'I was dancing when the music stopped', ""And in the disbelief, I can't face reinvention"", ""I haven't met the new me yet"", '', '[Chorus]', ""There'll be happiness after you"", 'But there was happiness because of you', 'Both of these things can be true', 'There is happiness', '[Post-Chorus]', 'Past the blood and bruise', 'Past the curses and cries', 'Beyond the terror in the nightfall', 'Haunted by the look in my eyes', ""That would've loved you for a lifetime"", 'Leave it all behind', 'And there is happiness', '', '[Verse 2]', 'Tell me, when did your winning smile', 'Begin to look like a smirk?', 'When did all our lessons start to look like weapons', 'Pointed at my deepest hurt?', ""I hope she'll be a beautiful fool"", 'Who takes my spot next to you', ""No, I didn't mean that"", ""Sorry, I can't see facts through all of my fury"", ""You haven't met the new me yet"", '', '[Chorus]', ""There'll be happiness after me"", 'But there was happiness because of me', 'Both of these things, I believe', 'There is happiness', 'You might also like[Post-Chorus]', 'In our history, across our great divide', 'There is a glorious sunrise', 'Dappled with the flickers of light', 'From the dress I wore at midnight, leave it all behind', 'And there is happiness', '', '[Bridge]', ""I can't make it go away by making you a villain"", ""I guess it's the price I paid for seven years in Heaven"", 'And I pulled your body into mine', 'Every goddamn night, now I get fake niceties', 'No one teaches you what to do', 'When a good man hurts you', 'And you know you hurt him too', '', '[Verse 3]', ""Honey, when I'm above the trees"", 'I see it for what it is', 'But now my eyes leak acid rain on the pillow where you used to lay your head', 'After giving you the best I had', 'Tell me what to give after that', 'All you want from me now is the green light of forgiveness', ""You haven't met the new me yet"", ""And I think she'll give you that"", '[Chorus]', ""There'll be happiness after you"", 'But there was happiness because of you too', 'Both of these things can be true', 'There is happiness', '', '[Post-Chorus]', 'In our history, across our great divide', 'There is a glorious sunrise', 'Dappled with the flickers of light', 'From the dress I wore at midnight, leave it all behind', 'Oh, leave it all behind', 'Leave it all behind', 'And there is happiness47Embed']",https://genius.com/Taylor-swift-happiness-lyrics
spotify:track:66tOfHVH3aUrscg8vExRV4,8,dorothea,evermore (deluxe version),Taylor Swift,False,0.605,0.488,4,-8.322,0.0264,0.696,0.0,0.129,0.354,119.966,225880,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisСрпскиMagyarPolski\u200bdorothea Lyrics[Verse 1]', 'Hey, Dorothea, do you ever stop and think about me?', 'When we were younger down in the park', 'Honey, making a lark of the misery', 'You got shiny friends since you left town', ""A tiny screen's the only place I see you now"", 'And I got nothing but well wishes for ya', '', '[Pre-Chorus]', 'Ooh, this place is the same as it ever was', ""Ooh, but you won't like it that way"", '[Chorus]', ""It's never too late to come back to my side"", 'The stars in your eyes shined brighter in Tupelo', ""And if you're ever tired of bеing known for who you know"", ""You know that you'll always know me, Dorothea (Uh-uh)"", 'Dorothea (Ah-ah)', '', '[Post-Chorus]', ""Ooh, you'rе a queen sellin' dreams, sellin' makeup and magazines"", ""Ooh, from you, I'd buy anything"", '', '[Verse 2]', 'Hey, Dorothea, do you ever stop and think about me?', 'When it was calmer, skipping the prom just to piss off your mom and her pageant schemes', 'And damn, Dorothea, they all wanna be ya', 'But are you still the same soul I met under the bleachers? Well', '', '[Pre-Chorus]', ""Ooh, I guess I'll never know"", ""Ooh, and you'll go on with the show"", '', '[Chorus]', ""But it's never too late to come back to my side"", 'The stars in your eyes shined brighter in Tupelo', ""And if you're ever tired of being known for who you know"", ""You know, you'll always know me, Dorothea (Uh-uh)"", 'Dorothea (Ah-ah)', 'You might also like[Outro]', 'Ooh, ooh', 'Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh', 'Ooh, ooh', 'Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh', 'Dorothea (Ah-ah-ah)', 'Ah-ah', 'Ooh48Embed']",https://genius.com/Taylor-swift-dorothea-lyrics
spotify:track:2awNGIJHodfLZSClB3PYhz,9,coney island (feat. The National),evermore (deluxe version),Taylor Swift,False,0.537,0.537,8,-11.266,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,"['TranslationsTürkçeRomânăPortuguêsItalianoDeutschFrançaisEspañolHrvatskiMagyarPolski\u200bconey island Lyrics[Verse 1: Taylor Swift]', 'Break my soul in two looking for you', ""But you're right here"", ""If I can't relate to you anymore"", 'Then who am I related to?', 'And if this is the long haul', ""How'd we get here so soon?"", 'Did I close my fist around something delicate?', 'Did I shatter you?', '', '[Pre-Chorus: Taylor Swift]', ""And I'm sitting on a bench in Coney Island"", 'Wondering where did my baby go?', 'The fast times, the bright lights, the merry go', 'Sorry for not making you my centerfold', '[Chorus: Taylor Swift]', 'Over and over', 'Lost again with no surprises', 'Disappointments, close your eyes', 'And it gets colder and colder', 'When the sun goes down', '', '[Verse 2: Matt Berninger with Taylor Swift]', 'The question pounds my head', ""What's a lifetime of achievement"", 'If I pushed you to the edge?', 'But you were too polite to leave me', 'And do you miss the rogue', 'Who coaxed you into paradise and left you there?', 'Will you forgive my soul', ""When you're too wise to trust me and too old to care?"", '', '[Pre-Chorus: Taylor Swift with Matt Berninger]', ""'Cause we were like the mall before the internet"", 'It was the one place to be', 'The mischief, the gift-wrapped suburban dreams', 'Sorry for not winning you an arcade ring', '', '[Chorus: Taylor Swift & Matt Berninger]', 'Over and over', 'Lost again with no surprises', 'Disappointments, close your eyes', 'And it gets colder and colder', 'When the sun goes down', 'You might also like[Bridge: Taylor Swift, Matt Berninger, Both]', 'Were you waiting at our old spot', 'In the tree line', 'By the gold clock', 'Did I leave you hanging every single day?', 'Were you standing in the hallway', 'With a big cake, happy birthday', 'Did I paint your bluest skies the darkest grey?', 'A universe away', 'And when I got into the accident', 'The sight that flashed before me was your face', 'But when I walked up to the podium, I think that I forgot to say your name', '', '[Pre-Chorus: Taylor Swift & Matt Berninger]', ""I'm on a bench in Coney Island"", 'Wondering where did my baby go?', 'The fast times, the bright lights, the merry go', 'Sorry for not making you my centerfold', '', '[Chorus: Taylor Swift & Matt Berninger]', 'Over and over', 'Lost again with no surprises', 'Disappointments, close your eyes', 'And it gets colder and colder', 'When the sun goes down', '[Outro: Taylor Swift & Matt Berninger]', 'When the sun goes down', 'The sight that flashed before me was your face', 'When the sun goes down', 'But I think that I forgot to say your name', 'Over and over', 'Sorry for not making you my, making you my', 'Making you my centerfold51Embed']",https://genius.com/Taylor-swift-coney-island-lyrics
spotify:track:43Ykum9T72UOPhBN31grpN,10,ivy,evermore (deluxe version),Taylor Swift,True,0.515,0.545,2,-9.277,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440,"['TranslationsTürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisPolskiСрпскиMagyar\u200bivy Lyrics[Verse 1]', ""How's one to know?"", ""I'd meet you where the spirit meets the bones"", 'In a faith-forgotten land', 'In from the snow', 'Your touch brought forth an incandescent glow', 'Tarnished but so grand', '', '[Pre-Chorus]', 'And the old widow goes to the stone every day', ""But I don't, I just sit here and wait"", 'Grieving for the living', '[Chorus]', 'Oh, goddamn', 'My pain fits in the palm of your freezing hand', ""Taking mine, but it's been promised to another"", ""Oh, I can't"", 'Stop you putting roots in my dreamland', 'My house of stone, your ivy grows', ""And now I'm covered in you"", '', '[Verse 2]', 'I wish to know', 'The fatal flaw that makes you long to be', 'Magnificently cursed', ""He's in the room"", 'Your opal eyes are all I wish to see', ""He wants what's only yours"", '', '[Chorus]', 'Oh, goddamn', 'My pain fits in the palm of your freezing hand', ""Taking mine, but it's been promised to another"", ""Oh, I can't"", 'Stop you putting roots in my dreamland', 'My house of stone, your ivy grows', ""And now I'm covered"", 'You might also like[Verse 3]', 'Clover blooms in the fields', 'Spring breaks loose, the time is near', 'What would he do if he found us out?', 'Crescent moon, coast is clear', 'Spring breaks loose, but so does fear', ""He's gonna burn this house to the ground"", ""How's one to know?"", ""I'd live and die for moments that we stole"", 'On begged and borrowed time', 'So tell me to run', ""Or dare to sit and watch what we'll become"", ""And drink my husband's wine"", '', '[Chorus]', 'Oh, goddamn', 'My pain fits in the palm of your freezing hand', ""Taking mine, but it's been promised to another"", ""Oh, I can't"", 'Stop you putting roots in my dreamland', 'My house of stone, your ivy grows', ""And now I'm covered in you"", ""And I'm covered in you"", '', '[Bridge]', ""So yeah, it's a fire"", ""It's a goddamn blaze in the dark"", 'And you started it', 'You started it', ""So yeah, it's a war"", ""It's the goddamn fight of my life"", 'And you started it', 'You started it', '[Chorus]', ""Oh, I can't"", 'Stop you putting roots in my dreamland', 'My house of stone, your ivy grows', ""And now I'm covered"", 'In you, in you', ""Now I'm covered in you"", 'In you50Embed']",https://genius.com/Taylor-swift-ivy-lyrics
