date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 12:44AM",Electric Honey,Con and The Éire Jordans,7H01qNaWldyovmHlbaNkPF,https://open.spotify.com/track/7H01qNaWldyovmHlbaNkPF,spotify:track:7H01qNaWldyovmHlbaNkPF,0.86,0.492,5,-11.112,0.102,0.142,3.88e-05,0.145,0.871,120.033,202250
"September 4, 2022 at 12:48AM",A Way Out,The Undercover Dream Lovers,49msJ7xl3s6XrsGACoRP1g,https://open.spotify.com/track/49msJ7xl3s6XrsGACoRP1g,spotify:track:49msJ7xl3s6XrsGACoRP1g,0.656,0.694,9,-4.126,0.0274,0.225,0.0375,0.311,0.939,107.095,261493
"September 4, 2022 at 12:52AM",Don't Say Shit You Don't Mean,Camp Howard,4ot2W5GgpeWRy9prVE9fzJ,https://open.spotify.com/track/4ot2W5GgpeWRy9prVE9fzJ,spotify:track:4ot2W5GgpeWRy9prVE9fzJ,0.631,0.577,4,-6.143,0.0249,0.000167,0.00388,0.0975,0.597,77.472,204587
"September 4, 2022 at 01:09AM",unconditional,HOAX,3UovV8lX0HKvj0HorwCAb5,https://open.spotify.com/track/3UovV8lX0HKvj0HorwCAb5,spotify:track:3UovV8lX0HKvj0HorwCAb5,0.573,0.841,2,-5.09,0.0285,0.0182,0.0,0.147,0.493,104.989,210481
"September 4, 2022 at 01:14AM",Lilac,Shimmertraps,19aj7vzIgjLMfqDOEGVssu,https://open.spotify.com/track/19aj7vzIgjLMfqDOEGVssu,spotify:track:19aj7vzIgjLMfqDOEGVssu,0.632,0.76,11,-6.99,0.0422,0.0265,0.602,0.273,0.819,122.037,258689
"September 4, 2022 at 01:17AM",Clean,Not Kevin,74jwQOur45HvOErFAZVNVq,https://open.spotify.com/track/74jwQOur45HvOErFAZVNVq,spotify:track:74jwQOur45HvOErFAZVNVq,0.406,0.791,1,-4.414,0.0326,0.000799,0.0798,0.349,0.112,86.276,224770
"September 4, 2022 at 01:20AM",Always On,Kevin Holliday,229vtI5xw2poRJemO8cNn2,https://open.spotify.com/track/229vtI5xw2poRJemO8cNn2,spotify:track:229vtI5xw2poRJemO8cNn2,0.674,0.562,1,-11.323,0.0317,0.239,0.00809,0.373,0.631,114.965,181250
"September 4, 2022 at 01:23AM",Fantasma IV,Stevie Zita,5wRteohfeB6V8iAHPZwANX,https://open.spotify.com/track/5wRteohfeB6V8iAHPZwANX,spotify:track:5wRteohfeB6V8iAHPZwANX,0.622,0.578,0,-6.478,0.0311,0.0644,0.00035,0.281,0.538,105.963,154463
"September 4, 2022 at 01:26AM",Milkshake,St Francis Hotel,2nHiHpXRn2qBsrGbZSMP4u,https://open.spotify.com/track/2nHiHpXRn2qBsrGbZSMP4u,spotify:track:2nHiHpXRn2qBsrGbZSMP4u,0.623,0.647,7,-6.563,0.029,0.011,0.171,0.339,0.158,80.836,183027
"September 4, 2022 at 01:28AM",Some Faith,Hello Forever,5gJ7BpCTnCYE4YSofYvYqP,https://open.spotify.com/track/5gJ7BpCTnCYE4YSofYvYqP,spotify:track:5gJ7BpCTnCYE4YSofYvYqP,0.579,0.912,6,-5.569,0.0987,0.0469,1.81e-05,0.517,0.589,130.472,142385
"September 4, 2022 at 01:31AM",Spam,Kuhr,2rKQ66AcKuYXHDwFJ7O0N9,https://open.spotify.com/track/2rKQ66AcKuYXHDwFJ7O0N9,spotify:track:2rKQ66AcKuYXHDwFJ7O0N9,0.751,0.517,0,-9.761,0.0816,0.177,0.0482,0.0633,0.291,153.338,132000
"September 4, 2022 at 01:34AM",Who Are You on Your Own?,Matt Duncan,4fstSKMbFhOMVoJRMta25u,https://open.spotify.com/track/4fstSKMbFhOMVoJRMta25u,spotify:track:4fstSKMbFhOMVoJRMta25u,0.773,0.497,7,-10.256,0.0273,0.286,0.665,0.0394,0.582,110.01,216400
