date,track_name,artist_name,uri,link
"September 4, 2022 at 03:52AM",In My Blood,Motel Radio,7k4vaemd7VxmddN7jgZAoZ,https://open.spotify.com/track/7k4vaemd7VxmddN7jgZAoZ
"September 4, 2022 at 03:56AM",Bizness,Dead Swells,6WduGBRrmA0e45c61trfdl,https://open.spotify.com/track/6WduGBRrmA0e45c61trfdl
"September 4, 2022 at 03:59AM",You Are Now on Fire,Slow Hollows,2BvQOZ0gTo1mUxsBYjo6QD,https://open.spotify.com/track/2BvQOZ0gTo1mUxsBYjo6QD
"September 4, 2022 at 04:03AM",Loosen Up,Loneborn,6RQ2TdRcVoo1tv3Q3LJ5Tb,https://open.spotify.com/track/6RQ2TdRcVoo1tv3Q3LJ5Tb
"September 4, 2022 at 04:06AM",Chains,Spendtime Palace,5ZaNOtW8qLBPEMsF7LvaUH,https://open.spotify.com/track/5ZaNOtW8qLBPEMsF7LvaUH
"September 4, 2022 at 04:10AM",Post Grad,Modern Diet,7CJn0QRqr5jgzW42K5E4FZ,https://open.spotify.com/track/7CJn0QRqr5jgzW42K5E4FZ
"September 4, 2022 at 04:13AM",Pennie,Gibontine,5z000WwBlKu2S0QQF3BoW9,https://open.spotify.com/track/5z000WwBlKu2S0QQF3BoW9
"September 4, 2022 at 04:16AM",Side Eye,Nature TV,7GcBcgN3zA0hNGyFr0Laxt,https://open.spotify.com/track/7GcBcgN3zA0hNGyFr0Laxt
"September 4, 2022 at 04:20AM",If I Had To,Langva,0EgZKGSH0oQgNLOEWsFGOI,https://open.spotify.com/track/0EgZKGSH0oQgNLOEWsFGOI
"September 4, 2022 at 04:23AM",Moving Parts,Julien Chang,4WrU5X70A0oAaYa42MrAKr,https://open.spotify.com/track/4WrU5X70A0oAaYa42MrAKr
"September 4, 2022 at 04:26AM",Familiar Ways,Mute Choir,2wN5LBTOtDac4HpEiDbvvm,https://open.spotify.com/track/2wN5LBTOtDac4HpEiDbvvm
"September 4, 2022 at 04:28AM",Blueshell,Aisle 5,758V4qQ1s2Z785j8mc0b4u,https://open.spotify.com/track/758V4qQ1s2Z785j8mc0b4u
"September 4, 2022 at 04:31AM",Ocean Drive,Sera Selin,0MRwMWGuL69exX9RINX2ah,https://open.spotify.com/track/0MRwMWGuL69exX9RINX2ah
"September 4, 2022 at 04:35AM",Tropic of Cancer,Minor Poet,6BTbRJni9FnII0RIEgXNp9,https://open.spotify.com/track/6BTbRJni9FnII0RIEgXNp9
"September 4, 2022 at 04:38AM",Oh Man,Paper Thieves,2t2BDE1CWFfpjusqg6h1lc,https://open.spotify.com/track/2t2BDE1CWFfpjusqg6h1lc
"September 4, 2022 at 10:19AM",Lose U,Ruble,4Kzuydl1zL1XrM93z9dzxQ,https://open.spotify.com/track/4Kzuydl1zL1XrM93z9dzxQ
"September 4, 2022 at 10:24AM",La Girl,the booyah! kids,4dv526VBLbxcV6bg315lcb,https://open.spotify.com/track/4dv526VBLbxcV6bg315lcb
"September 4, 2022 at 10:27AM",Might Might Not,Sure Sure,3bm4F6lQWj9twJmk5cHgPG,https://open.spotify.com/track/3bm4F6lQWj9twJmk5cHgPG
