uri,track_number,track_name,album,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:7an1exwMnfYRcdVQm0yDev,5,Cold As You,Taylor Swift,Taylor Swift,False,0.418,0.482,5,-5.769,0.0266,0.217,0.0,0.123,0.261,175.558,239013
spotify:track:2QA3IixpRcKyOdG7XDzRgv,6,The Outside,Taylor Swift,Taylor Swift,False,0.589,0.805,5,-4.055,0.0293,0.00491,0.0,0.24,0.591,112.982,207107
spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,7,Tied Together with a Smile,Taylor Swift,Taylor Swift,False,0.479,0.578,2,-4.963,0.0294,0.525,0.0,0.0841,0.192,146.165,248107
spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,8,Stay Beautiful,Taylor Swift,Taylor Swift,False,0.594,0.629,8,-4.919,0.0246,0.0868,0.0,0.137,0.504,131.597,236053
spotify:track:16MVSD0mGI4RMQT83Qzm69,9,Should've Said No,Taylor Swift,Taylor Swift,False,0.476,0.777,4,-3.771,0.0289,0.0103,0.0,0.196,0.472,167.964,242200
spotify:track:2QrQCMel6v2JiLxqrg4p2O,10,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,False,0.403,0.627,2,-5.28,0.0292,0.0177,0.0,0.182,0.374,74.9,213080
spotify:track:15DeqWWQB4dcEWzJg15VrN,11,Our Song,Taylor Swift,Taylor Swift,False,0.668,0.672,2,-4.931,0.0303,0.111,0.0,0.329,0.539,89.011,201107
spotify:track:0JIdBrXGSJXS72zjF9ss9u,12,I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,False,0.563,0.934,8,-3.629,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053
spotify:track:5OOd01o2YS1QFwdpVLds3r,13,Invisible,Taylor Swift,Taylor Swift,False,0.612,0.394,7,-5.723,0.0243,0.637,0.0,0.147,0.233,96.001,203227
spotify:track:1spLfUJxtyVyiKKTegQ2r4,14,A Perfectly Good Heart,Taylor Swift,Taylor Swift,False,0.483,0.751,4,-5.726,0.0365,0.00349,0.0,0.128,0.268,156.092,220147
spotify:track:4pJi1rVt9GNegU9kywjg4z,15,Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift,False,0.459,0.753,10,-3.827,0.0537,0.0402,0.0,0.0863,0.483,199.997,179067
spotify:track:0fAbfDiuQiUwV7FUcFfRGY,20,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,False,0.695,0.723,7,-3.806,0.0285,0.00727,1.2e-06,0.1,0.679,121.011,230333
spotify:track:6d9IiDcFxtFVIvt9pCqyGH,2,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,False,0.605,0.787,5,-3.002,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,260933
spotify:track:3DrjZArsPsoqbLzUZZV1Id,3,Back To December,Speak Now (Deluxe Package),Taylor Swift,False,0.529,0.67,2,-4.663,0.0303,0.117,0.0,0.334,0.286,141.893,293027
spotify:track:24DefNCFiWTP8OjYWiXuYe,4,Speak Now,Speak Now (Deluxe Package),Taylor Swift,False,0.709,0.599,7,-3.734,0.0304,0.095,0.0,0.0973,0.735,118.975,240760
spotify:track:1ubvV5ECkm6nSI6g1HmbBK,5,Dear John,Speak Now (Deluxe Package),Taylor Swift,False,0.589,0.47,4,-5.32,0.028,0.166,1.45e-06,0.112,0.102,119.386,403920
spotify:track:5yEPktRqvIhko5QFF3aBhQ,6,Mean,Speak Now (Deluxe Package),Taylor Swift,False,0.568,0.761,4,-3.987,0.0459,0.452,0.0,0.217,0.789,163.974,237733
spotify:track:7vBlnGdfOLzVEqiOQQxeU8,7,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,False,0.575,0.855,9,-4.827,0.0467,0.000315,0.00161,0.0419,0.84,139.92,265636
spotify:track:74WBGgUnpKrJXt6TETfR6Z,8,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,False,0.714,0.305,2,-8.837,0.0305,0.819,0.0,0.174,0.554,124.91,290467
spotify:track:10eBRyImhfqVvkiVEGf0N0,9,Enchanted,Speak Now (Deluxe Package),Taylor Swift,False,0.455,0.623,8,-3.878,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187
spotify:track:1By2VQkUN0Frd8mKNV5NYC,10,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,False,0.516,0.917,11,-3.186,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,217160
spotify:track:5GPwN5iZ9ZMSXAkppj4Uvv,11,Innocent,Speak Now (Deluxe Package),Taylor Swift,False,0.552,0.608,1,-5.29,0.0259,0.186,0.0,0.125,0.17,134.05,302253
spotify:track:11UaQaEp2LvdspTyyuE3ur,12,Haunted,Speak Now (Deluxe Package),Taylor Swift,False,0.436,0.95,5,-2.627,0.057,0.0826,1.08e-06,0.149,0.352,162.088,242080
spotify:track:1D27z8xNzjW0Mwwt1NCWhJ,13,Last Kiss,Speak Now (Deluxe Package),Taylor Swift,False,0.371,0.341,10,-9.475,0.0319,0.57,3.09e-05,0.101,0.196,89.038,367133
spotify:track:7DjCRhhFo9PPzca1BjMLcf,14,Long Live,Speak Now (Deluxe Package),Taylor Swift,False,0.418,0.68,7,-4.3,0.0347,0.036,7.59e-05,0.114,0.142,204.12,317453
spotify:track:1EQn3Uc5AyUXoiPLeyCrrg,15,Ours,Speak Now (Deluxe Package),Taylor Swift,False,0.608,0.569,0,-7.227,0.0284,0.537,0.0,0.097,0.238,159.845,237920
spotify:track:0vvt4IZOMkRug195S4MUq0,16,If This Was A Movie,Speak Now (Deluxe Package),Taylor Swift,False,0.511,0.719,4,-3.457,0.0265,0.166,4.54e-06,0.34,0.289,147.852,234547
spotify:track:2R7C9dDqv1UPycvepBFziA,17,Superman,Speak Now (Deluxe Package),Taylor Swift,False,0.582,0.765,7,-3.648,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,275960
spotify:track:6IH2Z54gYPLqgJtxZjX80i,18,Back To December - Acoustic,Speak Now (Deluxe Package),Taylor Swift,False,0.541,0.453,2,-6.459,0.0266,0.748,0.0,0.2,0.377,141.757,292560
spotify:track:62rlxI6g2PNaWsHoiRryto,19,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,False,0.563,0.443,5,-5.078,0.0247,0.842,0.0,0.293,0.313,80.962,217613
spotify:track:0dBW6ZsW8skfvoRfgeerBF,1,Mine,Speak Now (Deluxe Package),Taylor Swift,False,0.624,0.757,7,-2.94,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707
spotify:track:3DrjZArsPsoqbLzUZZV1Id,3,Back To December,Speak Now (Deluxe Package),Taylor Swift,False,0.529,0.67,2,-4.663,0.0303,0.117,0.0,0.334,0.286,141.893,293027
spotify:track:3RBluWmSoG2pGA1OePzGJI,7,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,False,0.543,0.818,4,-3.611,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667
